,P_min,P_max,P_avg,Hi,Hf,Hdiff,t,D,Q,Vavg,Re,Fexp,X,E,Ftheo,dQ/Q,dRe/Re,dFe/Fe
0,19.4,20.0,193.257,5.0,9.5,4.5,30,16,0.00011549999999999999,0.5744498727223097,9191.197963556955,0.004685122443245649,,,,0.008658008658008658,0.8658008680567252,3.5054934333276977
1,28.7,29.2,283.9995,9.5,15.9,6.4,30,16,0.00016426666666666666,0.8169953745383961,13071.925992614337,0.0034038339599884765,,,,0.006087662337662338,0.6087662369745671,2.1164013898377316
2,39.6,40.1,390.9285,15.9,24.0,8.1,30,16,0.0002079,1.0340097709001577,16544.156334402523,0.002925081928986324,,,,0.004810004810004809,0.4810004850610278,1.5854247646474373
3,61.9,62.4,609.6915,20.0,30.5,10.5,30,16,0.0002695,1.3403830363520561,21446.128581632896,0.0027148277619698058,,,,0.0037105751391465678,0.37105751917832863,1.1008197912607975
4,89.4,89.8,878.976,6.0,19.4,13.4,30,16,0.00034393333333333336,1.710584065439767,27369.345047036273,0.002403134950585612,,,,0.0029075402209730564,0.2907540288147535,0.742489669427707
5,137.8,138.1,1353.2895,6.0,23.2,17.2,30,16,0.00044146666666666665,2.1956750690719393,35130.801105151026,0.0022456628670828004,,,,0.0022651766837813348,0.22651767700052916,0.5161153884257331
6,11.8,12.2,117.72,5.0,7.5,2.5,20,16,9.625000000000001e-05,0.4787082272685915,7659.331636297465,0.00410958963549669,,,,0.010389610389610388,1.0389610408409218,3.9297216323021043
7,28.8,29.3,284.9805,7.5,12.7,5.2,20,16,0.00020020000000000004,0.9957131127186705,15931.409803498727,0.0022995172836380294,,,,0.004995004995004994,0.49950050341065566,1.9935574639266305
8,48.9,49.5,482.652,12.7,19.4,6.7,20,16,0.00025795,1.2829380490798252,20527.008785277205,0.002345917451762145,,,,0.0038767202946307423,0.38767203450116017,1.4498997338158661
9,85.2,86.1,840.2265,5.0,14.8,9.8,20,16,0.0003773,1.8765362508928787,30024.580014286057,0.0019088528232609869,,,,0.0026504108136761197,0.26504108873675253,1.1827863483897136
10,94.6,95.7,933.4215,14.8,25.0,10.2,20,16,0.0003927,1.9531295672558533,31250.073076093653,0.001957517610501921,,,,0.0025464731347084285,0.2546473211407646,1.2687467147312548
11,119.8,120.9,1180.6335,7.0,18.9,11.9,20,16,0.00045815000000000005,2.278651161798496,36458.41858877594,0.0018190699538345725,,,,0.00218269125832151,0.21826913478039303,1.0197078005125317
