P_min,P_max,P_avg,Hi,Hf,Hdiff,t,D
19.4,20,193.257,5,9.5,4.5,30,0.000016
28.7,29.2,283.9995,9.5,15.9,6.4,30,0.000016
39.6,40.1,390.9285,15.9,24,8.1,30,0.000016
61.9,62.4,609.6915,20,30.5,10.5,30,0.000016
89.4,89.8,878.976,6,19.4,13.4,30,0.000016
137.8,138.1,1353.2895,6,23.2,17.2,30,0.000016
11.8,12.2,117.72,5,7.5,2.5,20,0.000016
28.8,29.3,284.9805,7.5,12.7,5.2,20,0.000016
48.9,49.5,482.652,12.7,19.4,6.7,20,0.000016
85.2,86.1,840.2265,5,14.8,9.8,20,0.000016
94.6,95.7,933.4215,14.8,25,10.2,20,0.000016
119.8,120.9,1180.6335,7,18.9,11.9,20,0.000016
