,P_min,P_max,P_avg,Hi,Hf,Hdiff,t,D,Q,Vavg,Re,Fexp,X,E,Ftheo,dRe/Re,dFe/Fe
0,104,109,1044.765,3.5,4.5,1.0,20,7.8,3.85e-05,0.8057153595053217,6284.579804141509,6.276534735865295,3.664983614645408,0.02858687219423418,1640.04226692589,0.2597402597402914,0.5215990245482993
1,122,126,1216.44,4.5,5.8,1.3,20,7.8,5.005000000000001e-05,1.0474299673569185,8169.953745383964,4.32419538987858,3.664983614645408,0.02858687219423418,1639.8528927697298,0.1998001998002409,0.40090204061614254
2,223,226,2202.345,5.8,7.4,1.6,20,7.8,6.16e-05,1.2891445752085149,10055.327686626415,5.168288028909031,3.664983614645408,0.02858687219423418,1639.7242826610861,0.16233766233771296,0.3249523366263024
3,308,311,3036.195,7.4,9.3,1.9,20,7.8,7.314999999999999e-05,1.530859183060111,11940.701627868866,5.052703108866371,3.664983614645408,0.02858687219423418,1639.6317419820734,0.13670539986335475,0.2735850960354014
4,376,381,3713.085,9.3,11.7,2.4,20,7.8,9.24e-05,1.933716862812772,15082.991529939623,3.872698874421319,3.664983614645408,0.02858687219423418,1639.5245881197286,0.10822510822518418,0.21685613994405667
5,453,457,4463.55,11.7,14.0,2.3,20,7.8,8.855e-05,1.85314532686224,14454.533549525471,5.0690439128104385,3.664983614645408,0.02858687219423418,1639.5426061967667,0.11293054771322919,0.2260351827973823
6,76,78,755.37,3.0,4.9,1.9,30,9.6,4.876666666666666e-05,0.6737375050446842,6467.880048428969,7.987659106971462,3.0181112482393884,0.028973867983098124,7.636753870385532,0.2050580997949684,0.41093957131724934
7,125,129,1245.87,4.9,7.6,2.7,30,9.6,6.93e-05,0.9574164545371829,9191.197963556957,6.523973546350996,2.9533582249748296,0.02835223895975836,6.263557508560303,0.1443001443001819,0.2903162287011005
8,197,201,1952.19,7.6,10.8,3.2,30,9.6,8.213333333333333e-05,1.1347157979699944,10893.271660511946,7.277615698378183,2.988988042058692,0.02869428520376344,6.970568298345494,0.12175324675329133,0.24433752610710732
9,264,267,2604.555,10.8,14.2,3.4,30,9.6,8.726666666666667e-05,1.2056355353431192,11574.101139293945,8.600876072183897,3.0405453997012004,0.02918923583713152,8.206859647280698,0.11459129106192666,0.22946397814020136
10,305,308,3006.765,14.2,18.4,4.2,30,9.6,0.0001078,1.489314484835618,14297.419054421931,6.506806574340473,2.9524999303511317,0.028343999331370863,6.246447573398116,0.09276437847872268,0.18579049297545755
11,433,437,4267.35,18.4,23.7,5.3,30,9.6,0.00013603333333333332,1.8793730403878033,18041.98118772291,5.799272504719356,2.913292276071123,0.027967605850282778,5.579674021592959,0.07351139426618505,0.14731476454953238
12,21,23,215.82,4.0,7.7,3.7,30,15.8,9.496666666666668e-05,0.4843587383098968,7652.86806529637,7.267490973005556,1.809295708495834,0.02858687219423418,0.6399028536947853,0.10530010530012432,0.2293867816545221
13,45,46,446.355,7.7,13.1,5.4,30,15.8,0.0001386,0.7069019423982277,11169.050689891998,7.05649674153619,1.809295708495834,0.02858687219423418,0.6396686573223513,0.07215007215009991,0.1459690007438493
14,85,87,843.66,13.1,21.3,8.2,30,15.8,0.00021046666666666664,1.0734436903084197,16960.410306873033,5.784102956950925,1.809295708495834,0.02858687219423418,0.639494150693731,0.047513462147650655,0.09783830183878478
15,141,149,1422.45,21.3,32.0,10.7,30,15.8,0.0002746333333333333,1.4007131080853767,22131.267107748954,5.727508141228963,1.809295708495834,0.02858687219423418,0.6394153909012612,0.036412185944951235,0.09137159552043082
16,209,211,2060.1,6.0,19.6,13.6,30,15.8,0.0003490666666666667,1.7803456327066474,28129.46099676503,5.1346015350477945,1.809295708495834,0.02858687219423418,0.6393602584835227,0.028647822765539743,0.05809370041322793
17,372,378,3678.75,10.0,28.7,18.7,30,15.8,0.00047996666666666666,2.44797524497164,38678.00887055191,4.849682677731093,1.809295708495834,0.02858687219423418,0.6393047414384989,0.020834780193165096,0.04465127485103851
