,P_min,P_max,P_avg,Hi,Hf,Hdiff,t,D,Q,Vavg,Re,Fexp,X,E,Ftheo,dQ/Q,dRe/Re,dFe/Fe
0,104,109,1044.765,3.5,4.5,1.0,20,7.8,3.85e-05,0.8057153595053217,6284.579804141509,0.006276534735865294,0.0035203582857331506,2.7458794628718573e-05,0.009751683243553005,0.025974025974025972,2.597402600566634,7.002951087085769
1,122,126,1216.44,4.5,5.8,1.3,20,7.8,5.005000000000001e-05,1.0474299673569185,8169.953745383964,0.004324195389878579,0.0035203582857331506,2.7458794628718573e-05,0.00926555438135446,0.019980019980019977,1.9980020021152456,5.13689751175101
2,223,226,2202.345,5.8,7.4,1.6,20,7.8,6.16e-05,1.2891445752085149,10055.327686626415,0.005168288028909031,0.0035203582857331506,2.7458794628718573e-05,0.008927867518701766,0.016233766233766232,1.623376628439082,3.5129692455581782
3,308,311,3036.195,7.4,9.3,1.9,20,7.8,7.314999999999999e-05,1.530859183060111,11940.701627868866,0.005052703108866371,0.0035203582857331506,2.7458794628718573e-05,0.008677465759514752,0.013670539986329461,1.3670540046446162,2.9032292731805294
4,376,381,3713.085,9.3,11.7,2.4,20,7.8,9.24e-05,1.933716862812772,15082.991529939623,0.003872698874421319,0.0035203582857331506,2.7458794628718573e-05,0.008376189573229442,0.010822510822510822,1.0822510898447706,2.5384959990738714
5,453,457,4463.55,11.7,14.0,2.3,20,7.8,8.855e-05,1.85314532686224,14454.533549525471,0.005069043912810439,0.0035203582857331506,2.7458794628718573e-05,0.008427872141774645,0.01129305477131564,1.1293054844088486,2.426523811898422
6,76,78,755.37,3.0,4.9,1.9,30,9.6,4.876666666666666e-05,0.6737375050446842,6467.880048428969,0.007987659106971462,0.0037303844368640872,3.5811690593895234e-05,0.009752803582988615,0.02050580997949419,2.05058100059518,4.855910914637873
7,125,129,1245.87,4.9,7.6,2.7,30,9.6,6.93e-05,0.9574164545371829,9191.197963556957,0.006523973546350996,0.0012814107946011613,1.2301543628171148e-05,0.00834369330894121,0.014430014430014428,1.4430014467612085,4.273508317455015
8,197,201,1952.19,7.6,10.8,3.2,30,9.6,8.213333333333333e-05,1.1347157979699944,10893.271660511946,0.007277615698378183,0.00299137949496404,2.8717243151654782e-05,0.00863397507842938,0.012175324675324676,1.2175324719884861,3.1596968354351276
9,264,267,2604.555,10.8,14.2,3.4,30,9.6,8.726666666666667e-05,1.2056355353431192,11574.101139293945,0.008600876072183898,0.006287046781327232,6.0355649100741426e-05,0.009582282087256042,0.011459129106187928,1.1459129153533125,2.5579442440694375
10,305,308,3006.765,14.2,18.4,4.2,30,9.6,0.0001078,1.489314484835618,14297.419054421931,0.006506806574340473,0.0018559374538148006,1.7816999556622083e-05,0.007825599279128506,0.009276437847866418,0.9276437906351661,2.1009445960987265
11,433,437,4267.35,18.4,23.7,5.3,30,9.6,0.00013603333333333332,1.8793730403878033,18041.98118772291,0.005799272504719356,0.0010155876813777872,9.749641741226756e-06,0.007143099683665102,0.0073511394266111245,0.7351139500413931,1.738092376847861
12,21,23,215.82,4.0,7.7,3.7,30,15.8,9.496666666666668e-05,0.4843587383098968,7652.86806529637,0.007267490973005555,0.0017378983942226943,2.7458794628718573e-05,0.008843634779967644,0.010530010530010528,1.053001054903125,9.332401288206292
13,45,46,446.355,7.7,13.1,5.4,30,15.8,0.0001386,0.7069019423982277,11169.050689891998,0.00705649674153619,0.0017378983942226943,2.7458794628718573e-05,0.008161320243521,0.007215007215007214,0.7215007242767189,2.631810878392293
14,85,87,843.66,13.1,21.3,8.2,30,15.8,0.00021046666666666664,1.0734436903084197,16960.410306873033,0.005784102956950925,0.0017378983942226943,2.7458794628718573e-05,0.0075421870908557115,0.004751346214760849,0.47513462569148834,2.514991311108078
15,141,149,1422.45,21.3,32.0,10.7,30,15.8,0.0002746333333333333,1.4007131080853767,22131.267107748954,0.005727508141228963,0.0017378983942226943,2.7458794628718573e-05,0.007213447079134812,0.0036412185944896228,0.3641218649495498,5.566339208685021
16,209,211,2060.1,6.0,19.6,13.6,30,15.8,0.0003490666666666667,1.7803456327066474,28129.46099676503,0.005134601535047795,0.0017378983942226943,2.7458794628718573e-05,0.006956709738049144,0.002864782276546982,0.2864782346460991,1.1176535297641903
17,372,378,3678.75,10.0,28.7,18.7,30,15.8,0.00047996666666666666,2.44797524497164,38678.00887055191,0.004849682677731094,0.0017378983942226943,2.7458794628718573e-05,0.006668425777453388,0.002083478019306896,0.2083478115438657,1.6575512241656347
